OBJECTNUMMER;Boomsoort;Wetenschappelijke_naam;Plantjaar;Stamomtrek;Stamdiameter;Beschermwaarde;Toelichting;Referentienummer_stadsdeel;Volgnummer;Groep;SELECTIE_CAT;Foto;Vastgesteld;Achtergrond;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"378";"C015";"Monumentale boom";"BOOM_50_80";"378.jpg";"Ja";"Boom_378.pdf";"POINT(4.8882229,52.3780982)";"POINT(52.3780982,4.8882229)";4.8882229;52.3780982;
2;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"405";"C020";"Monumentale boom";"BOOM_50_80";"405.jpg";"Ja";"Boom_405.pdf";"POINT(4.8863199,52.3784491)";"POINT(52.3784491,4.8863199)";4.8863199;52.3784491;
3;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"441";"C022";"Monumentale boom";"BOOM_50_80";"441.jpg";"Ja";"Boom_441.pdf";"POINT(4.8865192,52.3786627)";"POINT(52.3786627,4.8865192)";4.8865192;52.3786627;
4;"Huntingdon-iep";"Ulmus xhollandica `Vegeta`";1900;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"715";"C044";"Monumentale boom";"BOOM_100PLUS";"715.jpg";"Ja";"Boom_715.pdf";"POINT(4.8848522,52.3826872)";"POINT(52.3826872,4.8848522)";4.8848522;52.3826872;
5;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"1225";"C065";"Monumentale boom";"BOOM_80_100";"1225.jpg";"Ja";"Boom_1225.pdf";"POINT(4.9035351,52.3711478)";"POINT(52.3711478,4.9035351)";4.9035351;52.3711478;
6;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"1875";"C081";"Monumentale boom";"BOOM_80_100";"1875.jpg";"Ja";"Boom_1875.pdf";"POINT(4.903054,52.3636023)";"POINT(52.3636023,4.903054)";4.903054;52.3636023;
7;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2483";"C124";"Monumentale boom";"BOOM_50_80";"2483.jpg";"Ja";"Boom_2483.pdf";"POINT(4.8961532,52.3685614)";"POINT(52.3685614,4.8961532)";4.8961532;52.3685614;
8;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2570";"C125";"Monumentale boom";"BOOM_50_80";"2570.jpg";"Ja";"Boom_2570.pdf";"POINT(4.8992422,52.3685958)";"POINT(52.3685958,4.8992422)";4.8992422;52.3685958;
9;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2597";"C126";"Monumentale boom";"BOOM_50_80";"2597.jpg";"Ja";"Boom_2597.pdf";"POINT(4.8989322,52.369435)";"POINT(52.369435,4.8989322)";4.8989322;52.369435;
10;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2699";"C128";"Monumentale boom";"BOOM_50_80";"2699.jpg";"Ja";"Boom_2699.pdf";"POINT(4.89731,52.369744)";"POINT(52.369744,4.89731)";4.89731;52.369744;
11;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"2761";"C134";"Monumentale boom";"BOOM_100PLUS";"2761.jpg";"Ja";"Boom_2761.pdf";"POINT(4.8979018,52.3580939)";"POINT(52.3580939,4.8979018)";4.8979018;52.3580939;
12;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2762";"C135";"Monumentale boom";"BOOM_100PLUS";"2762.jpg";"Ja";"Boom_2762.pdf";"POINT(4.8980792,52.3580863)";"POINT(52.3580863,4.8980792)";4.8980792;52.3580863;
13;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2771";"C136";"Monumentale boom";"BOOM_100PLUS";"2771.jpg";"Ja";"Boom_2771.pdf";"POINT(4.8950322,52.3582465)";"POINT(52.3582465,4.8950322)";4.8950322;52.3582465;
14;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2773";"C137";"Monumentale boom";"BOOM_100PLUS";"2773.jpg";"Ja";"Boom_2773.pdf";"POINT(4.8952091,52.358235)";"POINT(52.358235,4.8952091)";4.8952091;52.358235;
15;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2774";"C138";"Monumentale boom";"BOOM_100PLUS";"2774.jpg";"Ja";"Boom_2774.pdf";"POINT(4.8953831,52.3582236)";"POINT(52.3582236,4.8953831)";4.8953831;52.3582236;
16;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2777";"C140";"Monumentale boom";"BOOM_100PLUS";"2777.jpg";"Ja";"Boom_2777.pdf";"POINT(4.8948619,52.3582541)";"POINT(52.3582541,4.8948619)";4.8948619;52.3582541;
17;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2798";"C141";"Monumentale boom";"BOOM_100PLUS";"2798.jpg";"Ja";"Boom_2798.pdf";"POINT(4.8957341,52.3582045)";"POINT(52.3582045,4.8957341)";4.8957341;52.3582045;
18;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"2799";"C142";"Monumentale boom";"BOOM_100PLUS";"2799.jpg";"Ja";"Boom_2799.pdf";"POINT(4.8959119,52.3581931)";"POINT(52.3581931,4.8959119)";4.8959119;52.3581931;
19;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"2800";"C143";"Monumentale boom";"BOOM_100PLUS";"2800.jpg";"Ja";"Boom_2800.pdf";"POINT(4.8960879,52.3581854)";"POINT(52.3581854,4.8960879)";4.8960879;52.3581854;
20;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2801";"C144";"Monumentale boom";"BOOM_100PLUS";"2801.jpg";"Ja";"Boom_2801.pdf";"POINT(4.8962881,52.3581702)";"POINT(52.3581702,4.8962881)";4.8962881;52.3581702;
21;"Gewone plataan";"Platanus xhispanica";1910;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2802";"C145";"Monumentale boom";"BOOM_100PLUS";"2802.jpg";"Ja";"Boom_2802.pdf";"POINT(4.8987849,52.3581778)";"POINT(52.3581778,4.8987849)";4.8987849;52.3581778;
22;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2803";"C146";"Monumentale boom";"BOOM_100PLUS";"2803.jpg";"Ja";"Boom_2803.pdf";"POINT(4.8964698,52.3581587)";"POINT(52.3581587,4.8964698)";4.8964698;52.3581587;
23;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2804";"C147";"Monumentale boom";"BOOM_100PLUS";"2804.jpg";"Ja";"Boom_2804.pdf";"POINT(4.896651,52.3581473)";"POINT(52.3581473,4.896651)";4.896651;52.3581473;
24;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2805";"C148";"Monumentale boom";"BOOM_100PLUS";"2805.jpg";"Ja";"Boom_2805.pdf";"POINT(4.8986089,52.3581511)";"POINT(52.3581511,4.8986089)";4.8986089;52.3581511;
25;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2806";"C149";"Monumentale boom";"BOOM_100PLUS";"2806.jpg";"Ja";"Boom_2806.pdf";"POINT(4.8968322,52.3581435)";"POINT(52.3581435,4.8968322)";4.8968322;52.3581435;
26;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"2807";"C150";"Monumentale boom";"BOOM_100PLUS";"2807.jpg";"Ja";"Boom_2807.pdf";"POINT(4.8970172,52.3581244)";"POINT(52.3581244,4.8970172)";4.8970172;52.3581244;
27;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"2808";"C151";"Monumentale boom";"BOOM_100PLUS";"2808.jpg";"Ja";"Boom_2808.pdf";"POINT(4.8971989,52.3581206)";"POINT(52.3581206,4.8971989)";4.8971989;52.3581206;
28;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2809";"C152";"Monumentale boom";"BOOM_100PLUS";"2809.jpg";"Ja";"Boom_2809.pdf";"POINT(4.8984349,52.3581244)";"POINT(52.3581244,4.8984349)";4.8984349;52.3581244;
29;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"2810";"C153";"Monumentale boom";"BOOM_100PLUS";"2810.jpg";"Ja";"Boom_2810.pdf";"POINT(4.897371,52.358113)";"POINT(52.358113,4.897371)";4.897371;52.358113;
30;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2811";"C154";"Monumentale boom";"BOOM_100PLUS";"2811.jpg";"Ja";"Boom_2811.pdf";"POINT(4.8975379,52.3581015)";"POINT(52.3581015,4.8975379)";4.8975379;52.3581015;
31;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"2812";"C155";"Monumentale boom";"BOOM_100PLUS";"2812.jpg";"Ja";"Boom_2812.pdf";"POINT(4.898258,52.3581015)";"POINT(52.3581015,4.898258)";4.898258;52.3581015;
32;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"2813";"C156";"Monumentale boom";"BOOM_100PLUS";"2813.jpg";"Ja";"Boom_2813.pdf";"POINT(4.8977139,52.3580977)";"POINT(52.3580977,4.8977139)";4.8977139;52.3580977;
33;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"3258";"C199";"Monumentale boom";"BOOM_80_100";"3258.jpg";"Ja";"Boom_3258.pdf";"POINT(4.8984058,52.3621222)";"POINT(52.3621222,4.8984058)";4.8984058;52.3621222;
34;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"3260";"C200";"Monumentale boom";"BOOM_80_100";"3260.jpg";"Ja";"Boom_3260.pdf";"POINT(4.8982708,52.3621031)";"POINT(52.3621031,4.8982708)";4.8982708;52.3621031;
35;"Veldesdoorn cv.";"Acer campestre `Elsrijk`";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"3651";"C235";"Monumentale boom";"BOOM_50_80";"3651.jpg";"Ja";"Boom_3651.pdf";"POINT(4.8984449,52.3602339)";"POINT(52.3602339,4.8984449)";4.8984449;52.3602339;
36;"Japanse notenboom";"Ginkgo biloba";1940;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"3730";"C260";"Monumentale boom";"BOOM_50_80";"3730.jpg";"Ja";"Boom_3730.pdf";"POINT(4.908179,52.3677832)";"POINT(52.3677832,4.908179)";4.908179;52.3677832;
37;"Gewone es";"Fraxinus excelsior";1920;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"3733";"C261";"Monumentale boom";"BOOM_80_100";"3733.jpg";"Ja";"Boom_3733.pdf";"POINT(4.9085572,52.3680503)";"POINT(52.3680503,4.9085572)";4.9085572;52.3680503;
38;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"3738";"C262";"Monumentale boom";"BOOM_80_100";"3738.jpg";"Ja";"Boom_3738.pdf";"POINT(4.908963,52.3683135)";"POINT(52.3683135,4.908963)";4.908963;52.3683135;
39;"Witte paardenkastanje";"Aesculus hippocastanum";1940;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"3754";"C267";"Monumentale boom";"BOOM_50_80";"3754.jpg";"Ja";"Boom_3754.pdf";"POINT(4.9088929,52.3680426)";"POINT(52.3680426,4.9088929)";4.9088929;52.3680426;
40;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"3998";"C292";"Monumentale boom";"BOOM_80_100";"3998.jpg";"Ja";"Boom_3998.pdf";"POINT(4.888684,52.3719412)";"POINT(52.3719412,4.888684)";4.888684;52.3719412;
41;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4523";"C325";"Monumentale boom";"BOOM_80_100";"4523.jpg";"Ja";"Boom_4523.pdf";"POINT(4.8881848,52.3718001)";"POINT(52.3718001,4.8881848)";4.8881848;52.3718001;
42;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4555";"C327";"Monumentale boom";"BOOM_80_100";"4555.jpg";"Ja";"Boom_4555.pdf";"POINT(4.888128,52.3715026)";"POINT(52.3715026,4.888128)";4.888128;52.3715026;
43;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4952";"C339";"Monumentale boom";"BOOM_100PLUS";"4952.jpg";"Ja";"Boom_4952.pdf";"POINT(4.893801,52.3583228)";"POINT(52.3583228,4.893801)";4.893801;52.3583228;
44;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4953";"C340";"Monumentale boom";"BOOM_100PLUS";"4953.jpg";"Ja";"Boom_4953.pdf";"POINT(4.891298,52.3584677)";"POINT(52.3584677,4.891298)";4.891298;52.3584677;
45;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"4954";"C341";"Monumentale boom";"BOOM_100PLUS";"4954.jpg";"Ja";"Boom_4954.pdf";"POINT(4.8914759,52.3584601)";"POINT(52.3584601,4.8914759)";4.8914759;52.3584601;
46;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4957";"C342";"Monumentale boom";"BOOM_100PLUS";"4957.jpg";"Ja";"Boom_4957.pdf";"POINT(4.8932578,52.3583533)";"POINT(52.3583533,4.8932578)";4.8932578;52.3583533;
47;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4958";"C343";"Monumentale boom";"BOOM_100PLUS";"4958.jpg";"Ja";"Boom_4958.pdf";"POINT(4.8934438,52.358338)";"POINT(52.358338,4.8934438)";4.8934438;52.358338;
48;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4959";"C344";"Monumentale boom";"BOOM_100PLUS";"4959.jpg";"Ja";"Boom_4959.pdf";"POINT(4.893616,52.3583266)";"POINT(52.3583266,4.893616)";4.893616;52.3583266;
49;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4962";"C345";"Monumentale boom";"BOOM_100PLUS";"4962.jpg";"Ja";"Boom_4962.pdf";"POINT(4.8945091,52.3582808)";"POINT(52.3582808,4.8945091)";4.8945091;52.3582808;
50;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4963";"C346";"Monumentale boom";"BOOM_100PLUS";"4963.jpg";"Ja";"Boom_4963.pdf";"POINT(4.894336,52.3582923)";"POINT(52.3582923,4.894336)";4.894336;52.3582923;
51;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4971";"C347";"Monumentale boom";"BOOM_100PLUS";"4971.jpg";"Ja";"Boom_4971.pdf";"POINT(4.8941538,52.3582999)";"POINT(52.3582999,4.8941538)";4.8941538;52.3582999;
52;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"4973";"C348";"Monumentale boom";"BOOM_100PLUS";"4973.jpg";"Ja";"Boom_4973.pdf";"POINT(4.8939731,52.3583113)";"POINT(52.3583113,4.8939731)";4.8939731;52.3583113;
53;"Gewone plataan";"Platanus xhispanica";1920;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"4987";"C349";"Monumentale boom";"BOOM_80_100";"4987.jpg";"Ja";"Boom_4987.pdf";"POINT(4.8915341,52.3600928)";"POINT(52.3600928,4.8915341)";4.8915341;52.3600928;
54;"Gewone plataan";"Platanus xhispanica";1920;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"5008";"C354";"Monumentale boom";"BOOM_80_100";"5008.jpg";"Ja";"Boom_5008.pdf";"POINT(4.8946898,52.3598944)";"POINT(52.3598944,4.8946898)";4.8946898;52.3598944;
55;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"5230";"C362";"Monumentale boom";"BOOM_80_100";"5230.jpg";"Ja";"Boom_5230.pdf";"POINT(4.8832772,52.3664252)";"POINT(52.3664252,4.8832772)";4.8832772;52.3664252;
56;"Huntingdon-iep";"Ulmus xhollandica `Vegeta`";1935;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"5353";"C368";"Monumentale boom";"BOOM_50_80";"5353.jpg";"Ja";"Boom_5353.pdf";"POINT(4.889477,52.3686186)";"POINT(52.3686186,4.889477)";4.889477;52.3686186;
57;"Hollandse iep";"Ulmus xhollandica `Belgica`";1935;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"5386";"C374";"Monumentale boom";"BOOM_50_80";"5386.jpg";"Ja";"Boom_5386.pdf";"POINT(4.8945658,52.3695876)";"POINT(52.3695876,4.8945658)";4.8945658;52.3695876;
58;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"100-200 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"5838";"C398";"Monumentale boom";"BOOM_80_100";"5838.jpg";"Ja";"Boom_5838.pdf";"POINT(4.879379,52.3653647)";"POINT(52.3653647,4.879379)";4.879379;52.3653647;
59;"Hollandse iep";"Ulmus xhollandica";1920;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"5872";"C399";"Monumentale boom";"BOOM_80_100";"5872.jpg";"Ja";"Boom_5872.pdf";"POINT(4.8803928,52.365399)";"POINT(52.365399,4.8803928)";4.8803928;52.365399;
60;"Huntingdon-iep";"Ulmus xhollandica `Vegeta`";1920;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"5874";"C400";"Monumentale boom";"BOOM_80_100";"5874.jpg";"Ja";"Boom_5874.pdf";"POINT(4.8805358,52.3654486)";"POINT(52.3654486,4.8805358)";4.8805358;52.3654486;
61;"Dubbelbloemige paardenkastanje";"Aesculus hippocastanum `Baumannii`";1930;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"6336";"C424";"Monumentale boom";"BOOM_80_100";"6336.jpg";"Ja";"Boom_6336.pdf";"POINT(4.8908689,52.359471)";"POINT(52.359471,4.8908689)";4.8908689;52.359471;
62;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"6360";"C425";"Monumentale boom";"BOOM_100PLUS";"6360.jpg";"Ja";"Boom_6360.pdf";"POINT(4.89166,52.3584487)";"POINT(52.3584487,4.89166)";4.89166;52.3584487;
63;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"6361";"C426";"Monumentale boom";"BOOM_100PLUS";"6361.jpg";"Ja";"Boom_6361.pdf";"POINT(4.8918421,52.3584372)";"POINT(52.3584372,4.8918421)";4.8918421;52.3584372;
64;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"6362";"C427";"Monumentale boom";"BOOM_100PLUS";"6362.jpg";"Ja";"Boom_6362.pdf";"POINT(4.8920081,52.3584296)";"POINT(52.3584296,4.8920081)";4.8920081;52.3584296;
65;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"6363";"C428";"Monumentale boom";"BOOM_100PLUS";"6363.jpg";"Ja";"Boom_6363.pdf";"POINT(4.8921778,52.3584181)";"POINT(52.3584181,4.8921778)";4.8921778;52.3584181;
66;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"";"Leeftijd > 70 jaar";"6364";"C429";"Monumentale boom";"BOOM_100PLUS";"6364.jpg";"Ja";"Boom_6364.pdf";"POINT(4.8923519,52.3584067)";"POINT(52.3584067,4.8923519)";4.8923519;52.3584067;
67;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"6365";"C430";"Monumentale boom";"BOOM_100PLUS";"6365.jpg";"Ja";"Boom_6365.pdf";"POINT(4.8925502,52.3583953)";"POINT(52.3583953,4.8925502)";4.8925502;52.3583953;
68;"Gewone plataan";"Platanus xhispanica";1910;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"6366";"C431";"Monumentale boom";"BOOM_100PLUS";"6366.jpg";"Ja";"Boom_6366.pdf";"POINT(4.8927171,52.3583838)";"POINT(52.3583838,4.8927171)";4.8927171;52.3583838;
69;"Hollandse iep";"Ulmus xhollandica";1920;"200-300 cm";"50 - 100 cm";"";"Leeftijd > 70 jaar";"6509";"C441";"Monumentale boom";"BOOM_80_100";"6509.jpg";"Ja";"Boom_6509.pdf";"POINT(4.8807061,52.3655097)";"POINT(52.3655097,4.8807061)";4.8807061;52.3655097;
70;"Zachte berk";"Betula pubescens";1940;"100-200 cm";"";"";"";"1252";"N014";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.8840201,52.412152)";"POINT(52.412152,4.8840201)";4.8840201;52.412152;
71;"Pluim iep";"Ulmus glabra `Exoniensis`";1960;"100-200 cm";"";"";"";"1760";"N017";"Monumentale boom";"BOOM_50_80";"1760.jpg";"Ja";"";"POINT(4.8829858,52.4123465)";"POINT(52.4123465,4.8829858)";4.8829858;52.4123465;
72;"Italiaanse populier";"Populus nigra `Italica`";1950;"200-300 cm";"";"";"";"1763";"N018";"Monumentale boom";"BOOM_50_80";"1763.jpg";"Ja";"";"POINT(4.8831808,52.4122511)";"POINT(52.4122511,4.8831808)";4.8831808;52.4122511;
73;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"";"";"";"";"20654";"N074";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9203489,52.3937842)";"POINT(52.3937842,4.9203489)";4.9203489;52.3937842;
74;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"";"";"";"";"20716";"N082";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9210761,52.3952033)";"POINT(52.3952033,4.9210761)";4.9210761;52.3952033;
75;"Gewone es";"Fraxinus excelsior";1870;"100-200 cm";"";"";"";"51369";"N173";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9666121,52.4075476)";"POINT(52.4075476,4.9666121)";4.9666121;52.4075476;
76;"Ratel populier";"Populus tremula";1960;"200-300 cm";"";"";"";"51429";"N174";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9944818,52.3949401)";"POINT(52.3949401,4.9944818)";4.9944818;52.3949401;
77;"Hollandse iep";"Ulmus xhollandica";1955;"200-300 cm";"";"";"";"171631";"N199";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.958441,52.3857161)";"POINT(52.3857161,4.958441)";4.958441;52.3857161;
78;"Hollandse iep";"Ulmus xhollandica `Belgica`";1955;"300-400 cm";"";"";"";"171635";"N200";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9598,52.3852049)";"POINT(52.3852049,4.9598)";4.9598;52.3852049;
79;"Schietwilg";"Salix alba";1950;"400-500 cm";"";"";"";"171638";"N201";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9652121,52.3835761)";"POINT(52.3835761,4.9652121)";4.9652121;52.3835761;
80;"Hollandse iep";"Ulmus xhollandica `Belgica`";1955;"300-400 cm";"";"";"";"190491";"N203";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9561231,52.3862464)";"POINT(52.3862464,4.9561231)";4.9561231;52.3862464;
81;"Hollandse iep";"Ulmus xhollandica `Belgica`";1955;"";"";"";"";"190504";"N204";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.958554,52.3856818)";"POINT(52.3856818,4.958554)";4.958554;52.3856818;
82;"Hollandse iep";"Ulmus xhollandica `Belgica`";1955;"";"";"";"";"190508";"N205";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9590461,52.3855063)";"POINT(52.3855063,4.9590461)";4.9590461;52.3855063;
83;"Hollandse iep";"Ulmus xhollandica `Belgica`";1955;"200-300 cm";"";"";"";"190665";"N206";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9612758,52.3845412)";"POINT(52.3845412,4.9612758)";4.9612758;52.3845412;
84;"Ratel populier";"Populus tremula";1950;"200-300 cm";"";"";"";"235486";"N207";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9942472,52.394139)";"POINT(52.394139,4.9942472)";4.9942472;52.394139;
85;"Ratel populier";"Populus tremula";1950;"100-200 cm";"";"";"";"235487";"N208";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9942672,52.3942114)";"POINT(52.3942114,4.9942672)";4.9942672;52.3942114;
86;"Ratel populier";"Populus tremula";1950;"200-300 cm";"";"";"";"235489";"N209";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9943821,52.3946044)";"POINT(52.3946044,4.9943821)";4.9943821;52.3946044;
87;"Ratel populier";"Populus tremula";1960;"200-300 cm";"";"";"";"235494";"N210";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9944928,52.3950163)";"POINT(52.3950163,4.9944928)";4.9944928;52.3950163;
88;"Ratel populier";"Populus tremula";1960;"200-300 cm";"";"";"";"235495";"N211";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.994508,52.3950698)";"POINT(52.3950698,4.994508)";4.994508;52.3950698;
89;"Ratel populier";"Populus tremula";1960;"100-200 cm";"";"";"";"235496";"N212";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.994529,52.395146)";"POINT(52.395146,4.994529)";4.994529;52.395146;
